00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100539 string-utf8 __gmon_start__
00100548 string-utf8 _ITM_deregisterTMCloneTable
00100564 string-utf8 _ITM_registerTMCloneTable
0010057e string-utf8 pm_allocarray
0010058c string-utf8 pm_close
00100595 string-utf8 pm_keymatch
001005a1 string-utf8 pm_error
001005aa string-utf8 pbm_writepbm
001005b7 string-utf8 pm_proginit
001005c3 string-utf8 pm_usage
001005cc string-utf8 exit
001005d1 string-utf8 strlen
001005d8 string-utf8 stdout
001005df string-utf8 __libc_start_main
001005f1 string-utf8 __cxa_finalize
00100600 string-utf8 libnetpbm.so.11
00100610 string-utf8 libc.so.6
0010061a string-utf8 GLIBC_2.34
00100625 string-utf8 GLIBC_2.2.5
00103008 string INTERNAL ERROR: invalid digit passed to 'addlines'
00103040 string [-s1|-s2] <type> <manufac> <product>
00103068 string type code must be one digit, and     manufacturer and product codes must be five digits
00103de1 string zR
00103e11 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
